scenario,method,repeat,depth,edge_count,D_p,D_minus,D_plus,cumulative_instability,T_obs,selected_absolute,selected_relative,selected_bootstrap_band,accuracy,precision,recall,fpr,balanced_accuracy,f1,tp,fp,tn,fn
order3_unconfounded,fast_gcstar_cgc,5,5,11,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,2,3,,0.6777777777777778,0.2727272727272727,0.125,0.12121212121212122,0.5018939393939394,0.17142857142857143,3.0,8.0,58.0,21.0
order3_unconfounded,fast_gcstar_cgc,5,6,11,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,2,3,,0.6777777777777778,0.2727272727272727,0.125,0.12121212121212122,0.5018939393939394,0.17142857142857143,3.0,8.0,58.0,21.0
order3_unconfounded,fast_gcstar_cgc,5,7,11,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,2,3,,0.6777777777777778,0.2727272727272727,0.125,0.12121212121212122,0.5018939393939394,0.17142857142857143,3.0,8.0,58.0,21.0
order3_unconfounded,fast_gcstar_cgc,6,1,90,,,,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,6,2,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,6,3,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,6,4,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,6,5,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,6,6,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,6,7,90,0.0,0.0,0.0,0.0,0.0,2,2,,0.25555555555555554,0.25555555555555554,1.0,1.0,0.5,0.4070796460176991,23.0,67.0,0.0,0.0
order3_unconfounded,fast_gcstar_cgc,7,1,90,,,,0.0,0.0,2,2,,0.24444444444444444,0.24444444444444444,1.0,1.0,0.5,0.39285714285714285,22.0,68.0,0.0,0.0
